ID ,Month,Year,category,post category,Impressions,From Home,From Hashtags,From Explore,From Other,Saves,Comments,Shares,Likes,Profile Visits,Follows,Hashtags
1,Jan,2021,forts,photo,5716,5050,108,72,423,144,1,250,688,21,4,#gadkille2021_maharahtra #shivray_samrajy #marathas #sahyadri #sahyadri_clickers #gadvede_trekkers  #maharashtra_clickers #maharashtra_igers #maharashtraforts #durg_naad  #fort #killa #huntforspot #raigad #sahyadri #trek #shivneri #royalmarathi #insta_maharashtra #maharashtra_forts  #maharashtra_desha #raigadfort #swarajyarakshakssambhaji #tourism #shivaji #shivajimaharajhistory #shivajimaharaj #chatrapati #pune
2,Jan,2021,history,video,5325,4916,20,50,323,53,9,47,786,19,0,#gadkille2021_maharahtra #shivray_samrajy #marathas #sahyadri #sahyadri_clickers #gadvede_trekkers  #maharashtra_clickers #maharashtra_igers #maharashtraforts #durg_naad  #fort #killa #huntforspot #raigad #sahyadri #trek #shivneri #royalmarathi #insta_maharashtra #maharashtra_forts  #maharashtra_desha #raigadfort #swarajyarakshakssambhaji #tourism #shivaji #shivajimaharajhistory #shivajimaharaj #chatrapati #pune
3,Jan,2021,facts,reel,7091,6060,50,40,939,73,2,98,898,15,0,#gadkille2021_maharahtra #shivray_samrajy #marathas #sahyadri #sahyadri_clickers #gadvede_trekkers  #maharashtra_clickers #maharashtra_igers #maharashtraforts #durg_naad  #fort #killa #huntforspot #raigad #sahyadri #trek #shivneri #royalmarathi #insta_maharashtra #maharashtra_forts  #maharashtra_desha #raigadfort #swarajyarakshakssambhaji #tourism #shivaji #shivajimaharajhistory #shivajimaharaj #chatrapati #pune
4,Jan,2021,shivaji maharaj,photo,4520,3491,698,194,85,25,1,93,575,5,2,#gadkille2021_maharahtra #shivray_samrajy #marathas #sahyadri #sahyadri_clickers #gadvede_trekkers  #maharashtra_clickers #maharashtra_igers #maharashtraforts #durg_naad  #fort #killa #huntforspot #raigad #sahyadri #trek #shivneri #royalmarathi #insta_maharashtra #maharashtra_forts  #maharashtra_desha #raigadfort #swarajyarakshakssambhaji #tourism #shivaji #shivajimaharajhistory #shivajimaharaj #chatrapati #pune
5,Jan,2021,sambhaji maharaj,photo,6257,3269,2706,350,196,22,1,353,327,23,2,#dasra #vijayadashami #dashera #gadkille2021_maharahtra #marathas #sahyadri #sahyadri_clickers #gadvede_trekkers #maharashtra_clickers #maharashtraforts #durg_naad #fort #killa #raigad #sahyadri #trek #shivneri #royalmarathi #insta_maharashtra #maharashtra_forts #maharashtra_desha #raigadfort #swarajyarakshakssambhaji #tourism #shivaji #shivajimaharajhistory #shivajimaharaj #chatrapati #pune
6,Jan,2021,forts,video,5103,4347,100,100,43,74,0,21,776,19,0,#gadkille2021_maharahtra #shivray_samrajy #marathas #sahyadri #sahyadri_clickers #gadvede_trekkers  #maharashtra_clickers #maharashtra_igers #maharashtraforts #durg_naad  #fort #killa #huntforspot #raigad #sahyadri #trek #shivneri #royalmarathi #insta_maharashtra #maharashtra_forts  #maharashtra_desha #raigadfort #swarajyarakshakssambhaji #tourism #shivaji #shivajimaharajhistory #shivajimaharaj #chatrapati #pune
7,Jan,2021,forts,reel,6698,5530,180,300,650,61,14,32,959,21,2,#gadkille2021_maharahtra #shivray_samrajy #marathas #sahyadri #sahyadri_clickers #gadvede_trekkers  #maharashtra_clickers #maharashtra_igers #maharashtraforts #durg_naad  #fort #killa #huntforspot #raigad #sahyadri #trek #shivneri #royalmarathi #insta_maharashtra #maharashtra_forts  #maharashtra_desha #raigadfort #swarajyarakshakssambhaji #tourism #shivaji #shivajimaharajhistory #shivajimaharaj #chatrapati #pune
8,Jan,2021,history,photo,8882,4190,2173,2252,200,55,4,42,823,22,2,#gadkille2021_maharahtra #shivray_samrajy #marathas #sahyadri #sahyadri_clickers #gadvede_trekkers #maharashtra_clickers #maharashtra_igers #maharashtraforts #durg_naad #fort #killa #huntforspot #raigad #sahyadri #trek #shivneri #royalmarathi #insta_maharashtra #maharashtra_forts #maharashtra_desha #raigadfort #swarajyarakshakssambhaji #tourism #shivaji #shivajimaharajhistory #shivajimaharaj #chatrapati #pune
9,Jan,2021,shivaji maharaj,reel,4723,4139,500,66,457,35,1,18,693,11,2,#gadkille2021_maharahtra #shivray_samrajy #marathas #sahyadri #sahyadri_clickers #gadvede_trekkers  #maharashtra_clickers #maharashtra_igers #maharashtraforts #durg_naad  #fort #killa #huntforspot #raigad #sahyadri #trek #shivneri #royalmarathi #insta_maharashtra #maharashtra_forts  #maharashtra_desha #raigadfort #swarajyarakshakssambhaji #tourism #shivaji #shivajimaharajhistory #shivajimaharaj #chatrapati #pune
10,Jan,2021,shivaji maharaj,reel,8662,4579,2330,1238,452,128,5,437,751,20,4,#gadkille2021_maharahtra #lalbaugcharaja #ganpatibappa #sahyadri #sahyadri_clickers #gadvede_trekkers  #maharashtra_clickers #maharashtra_igers #maharashtraforts #durg_naad  #fort #killa #huntforspot #raigad #sahyadri #trek #shivneri #royalmarathi #insta_maharashtra #maharashtra_forts  #maharashtra_desha #raigadfort #swarajyarakshakssambhaji #tourism #shivaji #shivajimaharajhistory #shivajimaharaj #chatrapati #pune
